Created,Occurrence,PoStcode,Sr_Num,Enq_Type
02-Jan-13,Noise Nuisance,LS12 1,2-565469790,LASBT ALMO
02-Jan-13,Noise Nuisance,LS19 7,2-565511337,LASBT ALMO
02-Jan-13,Noise Nuisance,LS4 2,2-565507064,LASBT Private
02-Jan-13,Noise Nuisance,LS17 6,2-565550056,Tenancy Breach
02-Jan-13,Noise Nuisance,WF10 2,2-565570475,LASBT Private
02-Jan-13,Noise Nuisance,LS14 6,2-565614329,LASBT ALMO
02-Jan-13,Noise Nuisance,LS9 7,2-565531568,LASBT ALMO
02-Jan-13,Noise Nuisance,LS6 2,2-565631368,LASBT Private
02-Jan-13,Noise Nuisance,LS8 4,2-565630792,LASBT ALMO
02-Jan-13,Noise Nuisance,LS14 6,2-565670243,LASBT ALMO
02-Jan-13,Noise Nuisance,LS13 1,2-565672661,LASBT ALMO
02-Jan-13,Noise Nuisance,LS14 1,2-565699292,LASBT ALMO
02-Jan-13,Noise Nuisance,LS27 8,2-565646982,Tenancy Breach
02-Jan-13,Noise Nuisance,LS7 2,2-565570587,LASBT Private
02-Jan-13,Noise Nuisance,LS14 6,2-565679975,LASBT Private
03-Jan-13,Noise Nuisance,LS12 2,2-565793649,LASBT ALMO
03-Jan-13,Noise Nuisance,LS11 0,2-565843756,Tenancy Breach
03-Jan-13,Noise Nuisance,LS16 7,2-565867653,LASBT Private
03-Jan-13,Noise Nuisance,LS9 6,2-565840369,LASBT ALMO
03-Jan-13,Noise Nuisance,LS6 1,2-565878485,Tenancy Breach
03-Jan-13,Noise Nuisance,LS23 6,2-565942594,Tenancy Breach
03-Jan-13,Noise Nuisance,LS13 1,2-565971112,Tenancy Breach
03-Jan-13,Noise Nuisance,LS14 5,2-565964081,Tenancy Breach
03-Jan-13,Noise Nuisance,LS6 3,2-566000734,LASBT Private
03-Jan-13,Noise Nuisance,LS5 3,2-565990078,LASBT ALMO
03-Jan-13,Noise Nuisance,LS25 7,2-566044122,LASBT ALMO
03-Jan-13,Noise Nuisance,LS11 0,2-566023058,LASBT Private
03-Jan-13,Noise Nuisance,LS15 8,2-565986820,LASBT Private
03-Jan-13,Noise Nuisance,LS9 6,2-566051502,LASBT ALMO
03-Jan-13,Noise Nuisance,LS13 4,2-566047888,Tenancy Breach
03-Jan-13,Noise Nuisance,LS7 2,2-566060556,LASBT ALMO
03-Jan-13,Noise Nuisance,LS1 4,2-566068530,LASBT Private
03-Jan-13,Noise Nuisance,LS11 5,2-566065640,LASBT Private
03-Jan-13,Noise Nuisance,LS27 8,2-566083663,LASBT Private
03-Jan-13,Noise Nuisance,LS14 5,2-566071906,LASBT ALMO
03-Jan-13,Noise Nuisance,LS6 2,2-566123400,LASBT ALMO
03-Jan-13,Noise Nuisance,LS7 3,2-566125625,LASBT ALMO
03-Jan-13,Noise Nuisance,LS11 6,2-566139006,LASBT Private
04-Jan-13,Noise Nuisance,LS8 1,2-566189889,LASBT ALMO
04-Jan-13,Noise Nuisance,LS9 7,2-566315378,LASBT ALMO
04-Jan-13,Noise Nuisance,LS11 7,2-566323302,LASBT Private
04-Jan-13,Noise Nuisance,LS27 9,2-566373915,LASBT ALMO
04-Jan-13,Noise Nuisance,LS8 3,2-566415281,LASBT ALMO
04-Jan-13,Noise Nuisance,LS16 6,2-566420277,Tenancy Breach
04-Jan-13,Noise Nuisance,LS11 9,2-566426043,Tenancy Breach
04-Jan-13,Noise Nuisance,LS6 3,2-566470496,Tenancy Breach
04-Jan-13,Noise Nuisance,LS26 0,2-566468171,Tenancy Breach
04-Jan-13,Noise Nuisance,LS26 0,2-566489208,LASBT Private
07-Jan-13,Noise Nuisance,LS21 2,2-566508376,LASBT Private
07-Jan-13,Noise Nuisance,LS27 9,2-566556229,LASBT Private
07-Jan-13,Noise Nuisance,LS10 2,2-566587417,LASBT Private
07-Jan-13,Noise Nuisance,LS11 8,2-566572323,LASBT ALMO
07-Jan-13,Noise Nuisance,LS8 1,2-566614243,LASBT ALMO
07-Jan-13,Noise Nuisance,LS18 5,2-566607197,Tenancy Breach
07-Jan-13,Noise Nuisance,LS14 6,2-566707637,LASBT Private
07-Jan-13,Noise Nuisance,LS29 6,2-566697906,LASBT Private
07-Jan-13,Noise Nuisance,LS26 0,2-566740547,LASBT Private
07-Jan-13,Noise Nuisance,LS17 6,2-566704186,LASBT Private
07-Jan-13,Noise Nuisance,LS4 2,2-566823222,LASBT Private
07-Jan-13,Noise Nuisance,LS27 0,2-566800959,LASBT ALMO
07-Jan-13,Noise Nuisance,LS27 9,2-566844498,LASBT ALMO
07-Jan-13,Noise Nuisance,LS4 2,2-566875603,Tenancy Breach
07-Jan-13,Noise Nuisance,LS7 4,2-566930157,Tenancy Breach
07-Jan-13,Noise Nuisance,LS13 2,2-566980309,LASBT ALMO
08-Jan-13,Noise Nuisance,LS11 5,2-566990479,LASBT ALMO
08-Jan-13,Noise Nuisance,LS11 5,2-567052684,Tenancy Breach
08-Jan-13,Noise Nuisance,LS8 2,2-567083348,LASBT Private
08-Jan-13,Noise Nuisance,LS6 1,2-567114146,LASBT Private
08-Jan-13,Noise Nuisance,LS12 1,2-567137337,LASBT ALMO
08-Jan-13,Noise Nuisance,LS16 8,2-567128699,LASBT Private
08-Jan-13,Noise Nuisance,LS16 7,2-567175764,LASBT ALMO
08-Jan-13,Noise Nuisance,LS13 2,2-567187473,Tenancy Breach
08-Jan-13,Noise Nuisance,LS12 2,2-567222899,Tenancy Breach
08-Jan-13,Noise Nuisance,LS17 6,2-567241762,Tenancy Breach
08-Jan-13,Noise Nuisance,LS11 5,2-567236056,LASBT Private
08-Jan-13,Noise Nuisance,LS27 7,2-567244409,Tenancy Breach
08-Jan-13,Noise Nuisance,LS23 6,2-567273604,LASBT ALMO
08-Jan-13,Noise Nuisance,LS12 3,2-567266252,LASBT Private
08-Jan-13,Noise Nuisance,LS17 8,2-567264541,LASBT Private
08-Jan-13,Noise Nuisance,LS27 9,2-567296743,LASBT Private
08-Jan-13,Noise Nuisance,LS18 5,2-567375855,Tenancy Breach
08-Jan-13,Noise Nuisance,LS28 7,2-567370239,LASBT ALMO
08-Jan-13,Noise Nuisance,LS16 6,2-567449616,Tenancy Breach
08-Jan-13,Noise Nuisance,LS16 6,2-567449645,Tenancy Breach
09-Jan-13,Noise Nuisance,LS11 6,2-567471721,LASBT Private
09-Jan-13,Noise Nuisance,LS6 2,2-567439550,LASBT ALMO
09-Jan-13,Noise Nuisance,LS16 7,2-567472206,LASBT Private
09-Jan-13,Noise Nuisance,LS10 3,2-567561206,LASBT Private
09-Jan-13,Noise Nuisance,LS7 4,2-567642372,Tenancy Breach
09-Jan-13,Noise Nuisance,LS11 0,2-567670668,LASBT Private
09-Jan-13,Noise Nuisance,LS7 3,2-567661597,LASBT Private
09-Jan-13,Noise Nuisance,LS8 3,2-567673040,LASBT Private
09-Jan-13,Noise Nuisance,LS26 8,2-567693431,LASBT ALMO
09-Jan-13,Noise Nuisance,LS28 8,2-567694572,Tenancy Breach
09-Jan-13,Noise Nuisance,LS26 8,2-567733604,LASBT Private
09-Jan-13,Noise Nuisance,LS9 0,2-567740682,LASBT ALMO
09-Jan-13,Noise Nuisance,LS7 2,2-567733043,LASBT ALMO
09-Jan-13,Noise Nuisance,LS14 6,2-567780001,Tenancy Breach
09-Jan-13,Noise Nuisance,LS14 1,2-567816635,Tenancy Breach
10-Jan-13,Noise Nuisance,LS27 9,2-567898268,LASBT Private
10-Jan-13,Noise Nuisance,LS6 3,2-567908470,LASBT ALMO
10-Jan-13,Noise Nuisance,LS7 2,2-567940821,Tenancy Breach
10-Jan-13,Noise Nuisance,LS14 2,2-567927215,LASBT Private
10-Jan-13,Noise Nuisance,LS6 1,2-567921589,LASBT Private
10-Jan-13,Noise Nuisance,LS14 6,2-567953421,LASBT ALMO
10-Jan-13,Noise Nuisance,LS9 7,2-567986563,LASBT ALMO
10-Jan-13,Noise Nuisance,LS10 3,2-568027760,LASBT ALMO
10-Jan-13,Noise Nuisance,LS7 2,2-568027993,LASBT Private
10-Jan-13,Noise Nuisance,LS5 3,2-568028130,LASBT Private
10-Jan-13,Noise Nuisance,LS27 0,2-568028239,LASBT ALMO
10-Jan-13,Noise Nuisance,LS17 6,2-568071912,LASBT Private
10-Jan-13,Noise Nuisance,LS11 7,2-568077188,LASBT Private
10-Jan-13,Noise Nuisance,LS6 2,2-568088922,LASBT Private
10-Jan-13,Noise Nuisance,LS14 2,2-568126826,LASBT Private
10-Jan-13,Noise Nuisance,LS6 2,2-568150486,LASBT Private
10-Jan-13,Noise Nuisance,LS7 1,2-568156620,Tenancy Breach
10-Jan-13,Noise Nuisance,LS6 2,2-568161648,LASBT Private
10-Jan-13,Noise Nuisance,LS7 2,2-568158669,LASBT Private
10-Jan-13,Noise Nuisance,LS11 7,2-568197094,LASBT Private
10-Jan-13,Noise Nuisance,LS6 2,2-568197825,LASBT Private
11-Jan-13,Noise Nuisance,LS8 5,2-568190591,LASBT ALMO
11-Jan-13,Noise Nuisance,LS16 5,2-568244556,Tenancy Breach
11-Jan-13,Noise Nuisance,LS16 5,2-568350218,LASBT Private
11-Jan-13,Noise Nuisance,LS13 4,2-568365892,LASBT ALMO
11-Jan-13,Noise Nuisance,LS7 1,2-568436767,Tenancy Breach
11-Jan-13,Noise Nuisance,LS13 2,2-568428576,LASBT Private
11-Jan-13,Noise Nuisance,LS9 7,2-568428480,LASBT ALMO
11-Jan-13,Noise Nuisance,LS25 1,2-568468445,LASBT Private
11-Jan-13,Noise Nuisance,LS9 0,2-568539605,LASBT ALMO
11-Jan-13,Noise Nuisance,LS16 6,2-568568691,LASBT Private
11-Jan-13,Noise Nuisance,LS9 7,2-568556926,LASBT ALMO
11-Jan-13,Noise Nuisance,LS6 1,2-568567852,LASBT Private
11-Jan-13,Noise Nuisance,LS9 7,2-568561879,LASBT ALMO
14-Jan-13,Noise Nuisance,LS12 5,2-568692583,LASBT ALMO
14-Jan-13,Noise Nuisance,LS26 8,2-568718224,LASBT Private
14-Jan-13,Noise Nuisance,LS27 8,2-568819013,LASBT ALMO
14-Jan-13,Noise Nuisance,LS17 6,2-568837302,LASBT ALMO
14-Jan-13,Noise Nuisance,LS9 9,2-568864935,LASBT Private
14-Jan-13,Noise Nuisance,LS16 6,2-568892728,LASBT Private
14-Jan-13,Noise Nuisance,LS13 4,2-568901412,LASBT Private
14-Jan-13,Noise Nuisance,LS14 1,2-568910132,LASBT ALMO
14-Jan-13,Noise Nuisance,LS14 2,2-568927169,LASBT Private
14-Jan-13,Noise Nuisance,LS6 1,2-568922386,Tenancy Breach
